"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2000","31736","01","2460","0060","04","Elem      ","N","Hartland-Lakeside J3","Lakeside El","Grades PreK-12","158",86,"54.430300                     ",72,"45.569600                     ",1,"0.632900                      ",0,"0.000000                      ",2,"1.265800                      ",0,"0.000000                      ",155,"98.101200                     "
"2000","32786","01","2460","0100","04","Mid/Jr Hi ","N","Hartland-Lakeside J3","North Shore Mid","Grades PreK-12","510",257,"50.392100                     ",253,"49.607800                     ",1,"0.196000                      ",2,"0.392100                      ",3,"0.588200                      ",6,"1.176400                      ",498,"97.647000                     "
"2000","32856","01","2793","","03","Elem      ","N","Kenosha","","Elementary School Type/ Prek-12","9819",4682,"47.683000                     ",5137,"52.316900                     ",40,"0.407300                      ",128,"1.303500                      ",1430,"14.563600                     ",1194,"12.160000                     ",7027,"71.565300                     "
"2000","32856","01","2793","","03","Mid/Jr Hi ","N","Kenosha","","Middle/Junior High School Type/ Prek-12","4296",2053,"47.788600                     ",2243,"52.211300                     ",19,"0.442200                      ",47,"1.094000                      ",502,"11.685200                     ",407,"9.473900                      ",3321,"77.304400                     "
"2000","32856","01","2793","","03","High      ","N","Kenosha","","High School Type/ PreK-12","5536",2770,"50.036100                     ",2766,"49.963800                     ",23,"0.415400                      ",77,"1.390800                      ",578,"10.440700                     ",533,"9.627800                      ",4325,"78.125000                     "
"2000","32856","01","2793","","03","El/Sec    ","N","Kenosha","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","32856","01","2793","","03","Summary   ","N","Kenosha","","Grades PreK-12","19651",9505,"48.369000                     ",10146,"51.630900                     ",82,"0.417200                      ",252,"1.282300                      ",2510,"12.772800                     ",2134,"10.859400                     ",14673,"74.667900                     "
"2000","30853","01","2793","0020","04","Elem      ","N","Kenosha","Bain El","Grades PreK-12","346",143,"41.329400                     ",203,"58.670500                     ",2,"0.578000                      ",2,"0.578000                      ",136,"39.306300                     ",73,"21.098200                     ",133,"38.439300                     "
"2000","30854","01","2793","0050","04","Elem      ","N","Kenosha","Bose El","Grades PreK-12","376",179,"47.606300                     ",197,"52.393600                     ",4,"1.063800                      ",4,"1.063800                      ",36,"9.574400                      ",33,"8.776500                      ",299,"79.521200                     "
"2000","30883","01","2793","0060","04","High      ","N","Kenosha","Bradford Hi","Grades PreK-12","1949",1002,"51.410900                     ",947,"48.589000                     ",10,"0.513000                      ",34,"1.744400                      ",232,"11.903500                     ",255,"13.083600                     ",1418,"72.755200                     "
"2000","32795","01","2793","0065","04","Elem      ","Y","Kenosha","Brompton School","Grades PreK-12","104",63,"60.576900                     ",41,"39.423000                     ",0,"0.000000                      ",5,"4.807600                      ",6,"5.769200                      ",3,"2.884600                      ",90,"86.538400                     "
"2000","30855","01","2793","0070","04","Mid/Jr Hi ","N","Kenosha","Bullen Mid","Grades PreK-12","860",403,"46.860400                     ",457,"53.139500                     ",2,"0.232500                      ",22,"2.558100                      ",126,"14.651100                     ",64,"7.441800                      ",646,"75.116200                     "
"2000","30856","01","2793","0100","04","Elem      ","N","Kenosha","Columbus El","Grades PreK-12","176",80,"45.454500                     ",96,"54.545400                     ",0,"0.000000                      ",0,"0.000000                      ",38,"21.590900                     ",25,"14.204500                     ",113,"64.204500                     "
"2000","33854","01","2793","0110","04","Elem      ","N","Kenosha","Kenosha School of Language","Grades PreK-12","291",149,"51.202700                     ",142,"48.797200                     ",0,"0.000000                      ",1,"0.343600                      ",2,"0.687200                      ",216,"74.226800                     ",72,"24.742200                     "
"2000","30857","01","2793","0120","04","Elem      ","N","Kenosha","Durkee El","Grades PreK-12","176",91,"51.704500                     ",85,"48.295400                     ",2,"1.136300                      ",1,"0.568100                      ",59,"33.522700                     ",32,"18.181800                     ",82,"46.590900                     "
"2000","30858","01","2793","0140","04","Elem      ","N","Kenosha","Forest Park El","Grades PreK-12","471",234,"49.681500                     ",237,"50.318400                     ",5,"1.061500                      ",1,"0.212300                      ",11,"2.335400                      ",17,"3.609300                      ",437,"92.781300                     "
"2000","30859","01","2793","0160","04","Elem      ","N","Kenosha","Frank El","Grades PreK-12","519",250,"48.169500                     ",269,"51.830400                     ",0,"0.000000                      ",2,"0.385300                      ",270,"52.023100                     ",145,"27.938300                     ",102,"19.653100                     "
"2000","30860","01","2793","0180","04","Elem      ","N","Kenosha","Grant El","Grades PreK-12","290",141,"48.620600                     ",149,"51.379300                     ",3,"1.034400                      ",1,"0.344800                      ",42,"14.482700                     ",11,"3.793100                      ",233,"80.344800                     "
"2000","30861","01","2793","0220","04","Elem      ","N","Kenosha","Grewenow El","Grades PreK-12","450",219,"48.666600                     ",231,"51.333300                     ",4,"0.888800                      ",6,"1.333300                      ",17,"3.777700                      ",25,"5.555500                      ",398,"88.444400                     "
"2000","30862","01","2793","0240","04","Elem      ","N","Kenosha","Harvey El","Grades PreK-12","411",191,"46.472000                     ",220,"53.527900                     ",1,"0.243300                      ",7,"1.703100                      ",34,"8.272500                      ",32,"7.785800                      ",337,"81.995100                     "
"2000","30863","01","2793","0250","04","Elem      ","N","Kenosha","Head Start P-K","Grades PreK-12","362",183,"50.552400                     ",179,"49.447500                     ",0,"0.000000                      ",1,"0.276200                      ",148,"40.883900                     ",104,"28.729200                     ",109,"30.110400                     "
"2000","30884","01","2793","0280","04","High      ","N","Kenosha","Hillcrest Hi","Grades PreK-12","75",20,"26.666600                     ",55,"73.333300                     ",0,"0.000000                      ",0,"0.000000                      ",30,"40.000000                     ",8,"10.666600                     ",37,"49.333300                     "
"2000","30864","01","2793","0300","04","Elem      ","N","Kenosha","Jefferson El","Grades PreK-12","351",163,"46.438700                     ",188,"53.561200                     ",1,"0.284900                      ",4,"1.139600                      ",63,"17.948700                     ",65,"18.518500                     ",218,"62.108200                     "
"2000","30865","01","2793","0310","04","Elem      ","N","Kenosha","Jeffery El","Grades PreK-12","421",196,"46.555800                     ",225,"53.444100                     ",0,"0.000000                      ",4,"0.950100                      ",20,"4.750500                      ",13,"3.087800                      ",384,"91.211400                     "
